ID,Category,Risk,Likelihood,Impact,Mitigation,Contingency,L_score,I_score,Risk_Score,Priority
R06,Modelling,"Severe multicollinearity between climate predictors (rainfall, NDVI, temperature)",High,Medium,Compute VIF matrix pre-modelling; use LASSO for automatic selection; report VIF in report,Apply PCA to correlated climate block; use PC scores as inputs,3,2,6,High
R04,Technical,Colab session disconnects during long model training,High,Medium,Save model checkpoints every 50 estimators; use joblib to pickle intermediate models,Reduce n_estimators; use Kaggle Notebooks (12 hr session) for heavy training,3,2,6,High
R08,Academic,Supervisor questions synthetic data validity,Medium,High,Document synthetic generation methodology fully; compare synthetic distributions to published Kitui field data from KNBS/KIHBS,Frame as 'simulation study to validate methodology'; note it as a limitation,2,3,6,High
R07,Modelling,Synthetic data yields unrealistic model R² (too high — data leakage),Medium,High,"Generate yields from a noisy formula with genuine irreducible error (ε~N(0,0.25)); blind model to formula",Add more noise terms; validate that train R² and test R² are within 0.10 of each other,2,3,6,High
R03,Data,MODIS/AppEEARS processing takes >24 hrs (queue delay),Medium,Medium,Submit AppEEARS request in Session 6 immediately; use GEE JavaScript alternatively,Use MODIS MOD13Q1 pre-processed tiles from Google Earth Engine public datasets,2,2,4,Medium
R02,Data,SoilGrids REST API returns null for some grid cells in Kitui,Medium,Medium,Use bounding-box query for full county; fill nulls via nearest-neighbour interpolation,Use ISRIC WoSIS dataset downloaded as CSV,2,2,4,Medium
R01,Data,NASA POWER API rate-limited or endpoint changes,Low,High,Cache all API responses locally on first pull; use ERA5 reanalysis as backup via CDS API,Download ERA5 monthly aggregates via Copernicus CDS; manual CSV upload to Drive,1,3,3,Medium
R10,Personal,Phone breakdown / loss during project,Low,High,All work committed to GitHub daily; Drive auto-syncs; share repo with supervisor,"Access GitHub and Colab from any smartphone, computer, or cyber café",1,3,3,Medium
R05,Technical,Phone storage full — unable to cache large raster files,Medium,Low,"All data stored in Google Drive, not on device; keep raw rasters in Drive only",Free up storage; use Drive as streaming source,2,1,2,Low
R09,Academic,Insufficient literature sources on Kitui-specific yields,Medium,Low,"Use KALRO reports, KNBS agricultural surveys, WFP VAM, and FEWS NET as grey literature",Broaden to Kenya ASALs and East Africa; cite as 'comparable ASAL contexts',2,1,2,Low
